2024-11-25 08:42:04.783 | INFO     | __main__:main:66 - Loaded configuration from config.yaml
2024-11-25 08:42:04.784 | INFO     | siem.siem:_init_monitors:52 - Initialized 4 monitors
2024-11-25 08:42:04.784 | INFO     | __main__:main:71 - Initialized SIEM system
2024-11-25 08:42:04.785 | INFO     | __main__:main:74 - Starting SIEM system...
2024-11-25 08:42:04.785 | INFO     | siem.siem:run:92 - Started web interface
2024-11-25 08:42:04.786 | INFO     | siem.siem:run:98 - Started ProcessMonitor
2024-11-25 08:42:04.787 | INFO     | siem.siem:run:98 - Started NetworkMonitor
2024-11-25 08:42:04.787 | INFO     | siem.siem:run:98 - Started FileMonitor
2024-11-25 08:42:04.787 | INFO     | siem.siem:run:98 - Started RegistryMonitor
2024-11-25 08:42:07.950 | WARNING  | siem.siem:run:123 - Suspicious activity detected by NetworkMonitor: {'type': 'high_traffic', 'bytes_per_second': 125999999.99999999, 'process': {'local_address': addr(ip='127.0.0.1', port=59555), 'remote_address': addr(ip='127.0.0.1', port=50487), 'status': 'ESTABLISHED', 'pid': 15368, 'process_name': 'Windsurf.exe', 'bytes_sent': 4192458, 'bytes_recv': 3146283}}
2024-11-25 08:42:07.950 | WARNING  | siem.siem:run:123 - Suspicious activity detected by NetworkMonitor: {'type': 'high_traffic', 'bytes_per_second': 92576923.07692309, 'process': {'local_address': addr(ip='192.168.188.49', port=59280), 'remote_address': addr(ip='35.223.238.178', port=443), 'status': 'ESTABLISHED', 'pid': 14852, 'process_name': 'language_server_windows_x64.exe', 'bytes_sent': 162054876, 'bytes_recv': 154709728}}
2024-11-25 08:42:07.951 | WARNING  | siem.siem:run:123 - Suspicious activity detected by NetworkMonitor: {'type': 'high_traffic', 'bytes_per_second': 58326086.95652174, 'process': {'local_address': addr(ip='192.168.188.49', port=58345), 'remote_address': addr(ip='35.223.238.178', port=443), 'status': 'ESTABLISHED', 'pid': 14852, 'process_name': 'language_server_windows_x64.exe', 'bytes_sent': 162054876, 'bytes_recv': 154710004}}
